Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__E2F Targets,-0.8584872750658001,-3.3616454943672216,0.001,0.001,0.001,159/198,9.85%,ASF1B;TK1;ORC6;BIRC5;CDKN3;RANBP1;MAD2L1;MCM2;CKS1B;UBE2T;STMN1;AURKB;MCM7;CDCA8;MKI67;RPA3;MYBL2;MCM4;CCNB2;TCF19;RRM2;RAD51AP1;TUBG1;TUBB;NME1;DLGAP5;PLK1;CDK4;CHEK1;SPC25;MELK;CENPE;ANP32E;DEK;RNASEH2A;CDCA3;BRCA2;SNRPB;BRCA1;SSRP1;MCM3;TOP2A;CENPM;POP7;LIG1;DIAPH3;CDK1;RAN;MCM5;KIF4A;DEPDC1;TIMELESS;KIF2C;SPC24;DSCC1;PAICS;HMGB3;KIF22;EZH2;HMMR;CBX5;DCTPP1;TMPO;PCNA;SPAG5;CDC20;SUV39H1;RACGAP1;PLK4;HMGB2;DUT;HELLS;PSMC3IP;MXD3;TRIP13;RFC2;SMC4;E2F8;POLD2;JPT1;TACC3;DNMT1;DDX39A;KIF18B;ATAD2;GINS1;NUDT21;GINS3;POLD1;PTTG1;AURKA;NAA38;RFC3;POLD3;LMNB1;NAP1L1;SMC1A;USP1;CDC25A;MCM6;BUB1B;PA2G4;AK2;NCAPD2;SMC3;CIT;RAD21;TIPIN;RAD51C;ESPL1;NASP;CTPS1;RBBP7;SHMT1;PHF5A;GINS4;HNRNPD;MTHFD2;PRDX4;CSE1L;EIF2S1;SLBP;RPA1;EXOSC8;RPA2;CKS2;KPNA2;HMGA1;XRCC6;UNG;BARD1;CCNE1;PRKDC;SYNCRIP;DONSON;MMS22L;DCLRE1B;UBE2S;NOLC1;ILF3;POLE;LBR;MSH2;CNOT9;CCP110;CDC25B;TP53;NUP107;NOP56;CTCF;UBR7;CHEK2;PSIP1;PRIM2;RAD1;WDR90;POLE4;PMS2;RFC1
prerank,MSigDB_Hallmark_2020__Myc Targets V1,-0.8010073142223094,-3.099351513006045,0.001,0.001,0.001,148/185,14.53%,CCNA2;RANBP1;MAD2L1;MCM2;TYMS;MCM7;CDC45;MCM4;SNRPD1;NME1;CDK4;PPIA;COX5A;DEK;ERH;PSMB3;PRDX3;RAN;MCM5;NHP2;MRPL23;SNRPG;RRM1;NDUFAB1;PSMD8;PCNA;CDC20;PSMA6;RFC4;DUT;VDAC3;IMPDH2;PSMA4;PSMB2;PPM1G;SET;TFDP1;POLD2;VDAC1;C1QBP;HPRT1;RUVBL2;SLC25A3;RNPS1;ILF2;CYC1;CDK2;NAP1L1;LSM2;CBX3;PHB2;USP1;TXNL4A;MCM6;FBL;PA2G4;PHB;HNRNPR;EIF2S2;LSM7;CCT7;YWHAE;HNRNPA2B1;CCT5;PSMA7;CTPS1;SSBP1;HDGF;SRM;HNRNPD;UBE2L3;SERBP1;PRDX4;CCT3;EIF2S1;CCT2;ACP1;PSMD7;GOT2;HDAC2;NOP16;HNRNPC;KPNA2;SNRPA1;HNRNPA1;XRCC6;KPNB1;SNRPA;PSMD14;PSMD1;TUFM;HNRNPA3;VBP1;MRPL9;NPM1;LDHA;PSMC4;AIMP2;EIF4H;SYNCRIP;POLE3;UBA2;SRSF3;APEX1;GLO1;NOLC1;PSMD3;EIF4E;YWHAQ;MRPS18B;CSTF2;PRPS2;SNRPB2;PGK1;SNRPD3;NOP56;SRPK1;SSB;EIF1AX;CLNS1A;EIF3B;SNRPD2;PRPF31;HDDC2;TRIM28;BUB3;GNL3;G3BP1;RAD23B;COPS5;XPO1;PABPC4;CANX;SMARCC1;DHX15;RRP9;PSMA2;DDX21;PWP1;EIF3D;HNRNPU;CAD;AP3S1;TCP1;EXOSC7;CCT4;PSMA1;FAM120A
prerank,Reactome_Pathways_2024__DNA Replication,-0.8187379643452858,-3.024730028717623,0.001,0.001,0.001,85/116,9.85%,FEN1;ORC6;CCNA2;MCM2;MCM7;GINS2;MCM10;CDC45;CDT1;RPA3;MCM4;CDC6;ANAPC11;MCM3;ORC1;UBE2C;PSMB3;LIG1;MCM5;PSMD8;PSMB6;PCNA;PSMA6;RFC4;PSMA4;PSMB2;RFC2;GMNN;POLD2;POLE2;GINS1;RFC5;PSMC3;GINS3;POLD1;RFC3;HIST1H3G;POLD3;PSMA3;CDK2;DNA2;ANAPC15;PSMC5;MCM6;RBX1;SEM1;PSMA7;GINS4;ADRM1;PSMA5;PSMB5;PSMD2;POLA1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;KPNB1;PSMD14;PSMD1;CCNE2;CCNE1;PSMD13;H2AFX;PSMC4;PSMC2;POLE3;UBE2S;PSMD3;POLE;CDC7;PRIM1;DBF4;SKP2;PSMD12;PSMB4;PRIM2;CDC23;PSMD6;MCM8;POLE4;RFC1
prerank,Reactome_Pathways_2024__Cell Cycle Checkpoints,-0.7540974324666722,-3.0237111909466172,0.001,0.001,0.001,142/238,9.86%,ZWINT;CENPU;CENPN;ORC6;CCNA2;CLSPN;BIRC5;MAD2L1;MCM2;AURKB;MCM7;CDCA8;GTSE1;MCM10;CDC45;RPA3;NUF2;MCM4;CCNB2;KNL1;SGO1;PKMYT1;CDC6;PLK1;CENPA;CHEK1;ANAPC11;SPC25;CENPE;CENPH;BRCA1;MCM3;ORC1;UBE2C;PSMB3;CENPM;SKA1;BUB1;CDK1;MCM5;NDC80;KIF2C;SPC24;PSMD8;RBBP8;PSMB6;CDC20;PSMA6;RFC4;EXO1;PSMA4;CCNB1;PSMB2;SGO2;RFC2;RMI2;CENPF;RFC5;DSN1;PSMC3;NSD2;SPDL1;RFC3;PSMA3;CDC25C;CDK2;CENPO;INCENP;DNA2;ANAPC15;PSMC5;CDC25A;CENPP;CENPK;UBE2N;MCM6;YWHAH;BUB1B;SKA2;BLM;ZWILCH;YWHAE;SEM1;PSMA7;ERCC6L;ITGB3BP;SEC13;ADRM1;PSMA5;PSMB5;PSMD2;TOPBP1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;PSMD14;PSMD1;CCNE2;NUDC;KIF18A;BARD1;CCNE1;CENPL;PSMD13;CENPQ;H2AFX;PSMC4;NUP37;BRIP1;PSMC2;SEH1L;KNTC1;UBE2V2;NUP85;RANGAP1;CKAP5;UBE2S;RMI1;PSMD3;CDC7;YWHAQ;PPP1CC;DBF4;TP53;NUP107;NSL1;PSMD12;PSMB4;CHEK2;PPP2R1A;CENPI;RAD1;BRCC3;CDC23;PSMD6;MCM8;BUB3;RHNO1
prerank,Reactome_Pathways_2024__Synthesis of DNA,-0.8187200799311394,-3.0112490946825012,0.001,0.001,0.001,79/107,9.85%,FEN1;ORC6;CCNA2;MCM2;MCM7;GINS2;CDC45;CDT1;RPA3;MCM4;CDC6;ANAPC11;MCM3;ORC1;UBE2C;PSMB3;LIG1;MCM5;PSMD8;PSMB6;PCNA;PSMA6;RFC4;PSMA4;PSMB2;RFC2;GMNN;POLD2;POLE2;GINS1;RFC5;PSMC3;GINS3;POLD1;RFC3;POLD3;PSMA3;CDK2;DNA2;ANAPC15;PSMC5;MCM6;RBX1;SEM1;PSMA7;GINS4;ADRM1;PSMA5;PSMB5;PSMD2;POLA1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;PSMD14;PSMD1;CCNE2;CCNE1;PSMD13;PSMC4;PSMC2;POLE3;UBE2S;PSMD3;POLE;PRIM1;SKP2;PSMD12;PSMB4;PRIM2;CDC23;PSMD6;MCM8;POLE4;RFC1
prerank,Reactome_Pathways_2024__G2 M Checkpoints,-0.8073060024627321,-3.0020103647472998,0.001,0.001,0.001,82/118,9.86%,ORC6;CLSPN;MCM2;MCM7;GTSE1;MCM10;CDC45;RPA3;MCM4;CCNB2;PKMYT1;CDC6;CHEK1;BRCA1;MCM3;ORC1;PSMB3;CDK1;MCM5;PSMD8;RBBP8;PSMB6;PSMA6;RFC4;EXO1;PSMA4;CCNB1;PSMB2;RFC2;RMI2;RFC5;PSMC3;NSD2;RFC3;PSMA3;CDC25C;CDK2;DNA2;PSMC5;CDC25A;UBE2N;MCM6;YWHAH;BLM;YWHAE;SEM1;PSMA7;ADRM1;PSMA5;PSMB5;PSMD2;TOPBP1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;PSMD14;PSMD1;BARD1;PSMD13;H2AFX;PSMC4;BRIP1;PSMC2;UBE2V2;RMI1;PSMD3;CDC7;YWHAQ;DBF4;TP53;PSMD12;PSMB4;CHEK2;RAD1;BRCC3;PSMD6;MCM8;RHNO1
prerank,MSigDB_Hallmark_2020__G2-M Checkpoint,-0.7490897385176575,-2.905482808454818,0.001,0.001,0.001,110/191,8.24%,ORC6;CCNA2;BIRC5;DTYMK;CDKN3;MAD2L1;MCM2;CKS1B;STMN1;AURKB;GINS2;CDC45;MKI67;MYBL2;SNRPD1;CCNB2;KNL1;SMC2;CDC6;PLK1;CDK4;CENPA;CHEK1;HMGN2;CENPE;TPX2;BRCA2;MCM3;UBE2C;TOP2A;TROAP;RAD54L;BUB1;KIF11;CDK1;MCM5;NDC80;KIF4A;KIF2C;HMGB3;KIF22;EZH2;HMMR;TMPO;CDC20;SUV39H1;E2F2;RACGAP1;PLK4;KIF15;EXO1;CHAF1A;PBK;CCNF;PRC1;STIL;SMC4;TFDP1;JPT1;TACC3;UCK2;DDX39A;CENPF;TTK;NSD2;PTTG1;AURKA;LMNB1;SMC1A;POLQ;INCENP;CDC25A;NEK2;TRAIP;MCM6;FBXO5;E2F1;RAD21;ESPL1;NASP;HNRNPD;KIF20B;DKC1;NUSAP1;RPA2;CKS2;KPNA2;HMGA1;KPNB1;E2F4;BARD1;CBX1;SYNCRIP;SRSF10;UBE2S;PRMT5;NOLC1;ILF3;POLE;CDC7;LBR;NUP50;MAP3K20;CDC25B;EWSR1;DBF4;NCL;SQLE;CTCF;SLC7A1
prerank,Reactome_Pathways_2024__S Phase,-0.7521734828932959,-2.8726842470319514,0.001,0.001,0.001,93/149,9.85%,FEN1;ORC6;CCNA2;MCM2;CKS1B;MCM7;GINS2;CDC45;CDT1;RPA3;MCM4;CDCA5;CDC6;CDK4;ANAPC11;ESCO2;MCM3;ORC1;UBE2C;PSMB3;LIG1;MCM5;PSMD8;PSMB6;PCNA;PSMA6;RFC4;PSMA4;PSMB2;RFC2;TFDP1;GMNN;POLD2;POLE2;GINS1;RFC5;PSMC3;GINS3;POLD1;RFC3;POLD3;PSMA3;CDK2;SMC1A;DNA2;ANAPC15;PSMC5;CDC25A;MCM6;RBX1;E2F1;SMC3;RAD21;SEM1;PSMA7;RBBP4;GINS4;ADRM1;PSMA5;PSMB5;PSMD2;POLA1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;PSMD14;PSMD1;CCNE2;E2F4;CCNE1;PSMD13;PSMC4;PSMC2;POLE3;UBE2S;PSMD3;POLE;CDC25B;PRIM1;LIN9;SKP2;PSMD12;PSMB4;PRIM2;CDC23;PSMD6;MCM8;POLE4;RFC1
prerank,Reactome_Pathways_2024__DNA Replication Pre-Initiation,-0.8028026710501743,-2.8664215390898917,0.001,0.001,0.001,64/91,9.79%,ORC6;MCM2;MCM7;MCM10;CDC45;CDT1;RPA3;MCM4;CDC6;ANAPC11;MCM3;ORC1;UBE2C;PSMB3;MCM5;PSMD8;PSMB6;PSMA6;PSMA4;PSMB2;GMNN;POLE2;PSMC3;HIST1H3G;PSMA3;CDK2;ANAPC15;PSMC5;MCM6;SEM1;PSMA7;ADRM1;PSMA5;PSMB5;PSMD2;POLA1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;KPNB1;PSMD14;PSMD1;PSMD13;H2AFX;PSMC4;PSMC2;POLE3;UBE2S;PSMD3;POLE;CDC7;PRIM1;DBF4;PSMD12;PSMB4;PRIM2;CDC23;PSMD6;MCM8;POLE4
prerank,"Reactome_Pathways_2024__Cell Cycle, Mitotic",-0.6706792250559145,-2.862834535419565,0.001,0.001,0.001,226/478,9.91%,ZWINT;CENPU;CENPN;FEN1;TK1;ORC6;CCNA2;DHFR;BIRC5;MAD2L1;MCM2;CKS1B;AURKB;TYMS;MCM7;CDCA8;GTSE1;GINS2;MCM10;CDC45;CDT1;RPA3;MYBL2;NUF2;MCM4;CCNB2;BANF1;CDCA5;RRM2;NCAPG;KNL1;SGO1;SMC2;PKMYT1;TUBG1;TUBB;TUBA1B;CDC6;PLK1;CDK4;CENPA;ANAPC11;SPC25;CENPE;TPX2;CENPH;FOXM1;ESCO2;MCM3;ORC1;UBE2C;PSMB3;TOP2A;CENPM;SKA1;BUB1;LIG1;CDK1;RAN;MCM5;NDC80;KIF2C;SPC24;PSMD8;HMMR;NCAPG2;PSMB6;TMPO;PCNA;CDC20;E2F2;PLK4;PSMA6;RFC4;NCAPH;PSMA4;CCNB1;PSMB2;HAUS4;SGO2;RFC2;SMC4;SET;TFDP1;GMNN;POLD2;CENPF;MZT1;POLE2;GINS1;RFC5;DSN1;PSMC3;GINS3;POLD1;PTTG1;AURKA;SPDL1;RFC3;HIST1H3G;KIF20A;POLD3;PSMA3;CDC25C;LMNB1;CDK2;SMC1A;CENPO;INCENP;DNA2;ANAPC15;PSMC5;CDC25A;CENPP;CENPK;NEK2;MCM6;UBE2I;BUB1B;SKA2;FBXO5;NCAPD2;RBX1;E2F1;SMC3;NCAPD3;ZWILCH;YWHAE;RAD21;SEM1;VRK1;HDAC1;ESPL1;TUBA1C;PSMA7;ERCC6L;SUMO1;ITGB3BP;NCAPH2;RBBP4;SEC13;GINS4;ADRM1;HAUS1;NDC1;PSMA5;PSMB5;PSMD2;MZT2A;POLA1;NUP93;PSMD7;TUBB6;PSMD11;RPA1;MASTL;MZT2B;PSMB7;PSMC1;RPA2;DCTN3;PSMB1;KPNB1;PSMD14;PSMD1;CCNE2;NUDC;E2F4;SSNA1;KIF18A;CCNE1;CENPL;PSMD13;CENPQ;H2AFX;PSMC4;CEP152;NUP37;HAUS8;PSMC2;SEH1L;KNTC1;POLE3;RCC1;NUP85;RANGAP1;CKAP5;UBE2S;PSMD3;CENPJ;AAAS;POLE;CDC7;LBR;NUP50;HAUS5;CCP110;CDC25B;PRIM1;LIN9;PPP1CC;CDK6;DBF4;TP53;NUP107;SKP2;NSL1;PSMD12;NUP62;PSMB4;PPP2R1A;CENPI;PRIM2;KMT5A;TUBGCP3;BORA;HAUS2;CDC23;PSMD6;MCM8;DCTN2;RBL1;POLE4;BUB3;RFC1;ODF2
