context	gene	family	log2FoldChange	padj	baseMean	tag
CD8_TIL	CCL5	effector	0.254772885650848	1.4460921127504058e-21	8453.028637377314	[sig]
CD8_TIL	CD69	activation	0.3335852362749712	4.8100025158334185e-21	2233.099697583274	[sig]
CD8_TIL	CD96	exhaustion	0.1286968242282159	1.040440447137804e-16	639.8817117825962	[sig]
CD8_TIL	COX8A	metabolism	-0.223551358683321	5.834279993357154e-36	875.1816180232313	[sig]
CD8_TIL	FOS	stress	0.4073482643498654	6.120284770946449e-20	3183.162613866413	[sig]
CD8_TIL	GSTP1	stress	-0.1999591694331501	2.348611329320237e-24	681.7802608849129	[sig]
CD8_TIL	GZMK	effector	0.2791768814852339	2.180251143347229e-21	1676.3256611502056	[sig]
CD8_TIL	IFNG	effector	0.2574591320396113	7.94556988299982e-06	741.1517461268778	[sig]
CD8_TIL	IL7R	progenitor	0.3309451778837313	3.76614535123383e-18	1616.9953260462364	[sig]
CD8_TIL	KLRG1	exhaustion	0.2764321136815263	1.6138386615183948e-11	182.897430558107	[sig]
CD8_TIL	KLRK1	activation	0.23118993811946	2.7758049253471985e-12	170.4049655984021	[sig]
CD8_TIL	LDHA	metabolism	-0.1188092513180159	2.70412477843692e-09	1606.3366024489	[sig]
CD8_TIL	LGALS1	effector	-0.1767666301846289	7.184071194903662e-08	1485.4242095725876	[sig]
CD8_TIL	MKI67	prolif	-1.0847523984472751	6.576598204053593e-32	197.0756048146438	[sig]
CD8_TIL	MYBL2	prolif	-1.4878658647437393	1.599678647342729e-31	17.108030338936913	[sig]
CD8_TIL	PDCD1	exhaustion	0.1723267425784417	1.681436785382542e-06	218.9074586504557	[sig]
CD8_TIL	PRDX1	stress	-0.1882753136564933	1.2885699537899434e-10	676.414213641465	[sig]
CD8_TIL	PRF1	effector	0.1111183695714237	1.9077192584886603e-05	773.3056287340607	[sig]
CD8_TIL	SLAMF6	progenitor	0.1950781825090467	3.1978250164833e-12	100.5981137971335	[sig]
CD8_TIL	TBX21	effector	0.1526719362298193	6.293481060940649e-06	105.01562619594326	[sig]
CD8_TIL	TCF7	progenitor	0.1165611658556939	0.0039594200038176	101.51635791150392	[sig]
CD8_TIL	TNF	effector	0.3936501935534656	1.3341705123568784e-12	317.6965893780976	[sig]
CD8_TIL	TOP2A	prolif	-0.9613062817475196	2.4946405555169412e-26	135.40539856290732	[sig]
CD8_TIL	TOX2	exhaustion	-0.2751494296688661	7.281785623878257e-07	43.27489049063815	[sig]
