gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
FOS,28.59402,0.96871775,7.9732280708427e-180,1.023290756333169e-178,0.44334972866405153,0.36155320389967505
DUSP1,26.751984,0.72604114,1.1708721038312631e-157,1.349139409709037e-156,0.5832605028353082,0.5140613282226482
CCL4,20.908329,1.50374,4.496998942650831e-97,3.552914010232883e-96,0.6553118839047987,0.6116365302891426
DNAJB1,19.962244,1.5467517,1.1732188387613237e-88,8.65259732637093e-88,0.6362065811670494,0.6070952420631615
CCL4L2,19.945807,0.9132557,1.629979436065868e-88,1.199465324689031e-87,0.35788398609784355,0.3048079326722773
HSPA1B,18.824432,1.1709001,4.7629328934456044e-79,3.243051919293549e-78,0.3731123351151399,0.32393133905507876
FOSB,16.419792,0.38265324,1.3803902115179244e-60,7.961979032156999e-60,0.2911831060344302,0.24337555203733022
NR4A2,16.338894,0.1617076,5.219063669884739e-60,2.9955954460710306e-59,0.4196408609581106,0.36961503208065993
CD69,15.294711,0.30914745,8.292855965699395e-53,4.42042004560531e-52,0.6523546269384769,0.6155528705941171
NR4A1,11.063053,0.27933496,1.8953371419516313e-28,7.466490987352685e-28,0.1993658665474279,0.16661111574035498
HSPA6,11.05658,0.82047033,2.037180704297186e-28,8.0236856750856405e-28,0.12400154468405114,0.09155487042746438
JUNB,9.920219,0.5870542,3.400072745699037e-23,1.234854445603561e-22,0.7227952683888539,0.7213148904257979
HSPA1A,9.41731,1.8465532,4.627943373874075e-21,1.6197801808559264e-20,0.4552702180849983,0.4446504457961836
EGR1,8.001182,0.45238405,1.2323128445393466e-15,3.9080355058750585e-15,0.12694355805776306,0.10374135488709274
JUN,7.8632083,0.61245537,3.744172854249013e-15,1.1754358605041302e-14,0.6733094855795614,0.6619240063328056
RGS1,7.1650977,-0.08589854,7.773110847313893e-13,2.317764428206236e-12,0.5700747952277393,0.5481209899175069
AREG,6.986854,0.24611993,2.811186655239595e-12,8.293104520120708e-12,0.13281742241011363,0.11215732022331472
CCL3L1,5.011934,0.0852269,5.38858090350876e-07,1.3867170740338403e-06,0.13827462856446007,0.12321889842513124
RHOB,4.9578824,0.19130869,7.126567863981384e-07,1.8285538038245885e-06,0.23249019328875428,0.21919006749437547
ATF3,4.5207667,0.05583106,6.161599792388402e-06,1.540361356090384e-05,0.15419402044673888,0.14067577701858178
IFNG,4.248856,0.13851205,2.1486472932525655e-05,5.27695717837084e-05,0.3032712749740859,0.29230897425214564
FCRL6,4.186582,0.3502284,2.831863496094503e-05,6.931865545389182e-05,0.05588809170545314,0.04355887009415882
ZNF331,4.0265007,0.005255805,5.661303407811857e-05,0.00013703169449327013,0.33358061828011626,0.3213065577868511
TNF,3.8976371,0.2306984,9.713581454459055e-05,0.00023313763690515856,0.18477774841974756,0.17408965919506708
DNAJB4,3.3654976,0.22088362,0.0007640573516031546,0.0017642360946366026,0.1356679742281661,0.12623948004332972
PTGDR,2.6614225,0.23562253,0.007781124622912878,0.017096543443738003,0.0503902359708136,0.0425381218231814
NR4A3,2.6305492,0.027276278,0.008524706001275873,0.018695336007413473,0.15369606308814862,0.1455712023998
RASD1,2.5294526,0.24569607,0.011424063654882393,0.024892459696526686,0.04327655941952399,0.03583034747104408
TNFSF9,2.3301048,0.030752553,0.019800605564102305,0.04253155583282636,0.1553322086949452,0.14840429964169652
SCML4,2.1878612,0.022846509,0.028679717132169144,0.06101930861478674,0.20106806772220076,0.19402549787517706
KLRD1,2.0724967,-0.0968348,0.03821914759331532,0.08072171960205249,0.2826568565679559,0.27303974668777603
MAFF,2.0282078,0.1008639,0.0425390535204698,0.08950468013790361,0.07375866344179996,0.06774435463711358
CCL3,1.9847345,-0.2889588,0.04717401680233905,0.09885293748734202,0.282433283876344,0.27433130572452297
ID1,1.9233589,0.30493924,0.05443499087672052,0.11358836396138765,0.029440458527265706,0.02378968419298392
CCNH,1.7904456,0.054653972,0.07338230497514507,0.1516506845178596,0.3718725229162009,0.36884426297808515
MGP,1.762285,0.3329246,0.07802116296257249,0.1609206644526725,0.010970305481595902,0.005791184067994334
