gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
C1orf56,2.08757,0.11887211,0.036836635312058295,0.08551905028657993,0.17368196581476986,0.15433355962887532
HBB,1.1185302,1.0344486,0.2633406150982641,0.4722561030729503,0.07499753945080542,0.06472052500565739
LYZ,1.020838,-0.020533198,0.3073311639243751,0.5369347025090422,0.07860634493618976,0.06902014030323603
SCGB3A1,0.88627344,0.68196297,0.37547020113274643,0.6335942250980675,0.020931071815229157,0.01267255035075809
C1QA,0.57555443,0.20522901,0.564916379904744,0.8708347668290541,0.042452675437157576,0.03711246888436298
C1QB,0.57311314,0.13715741,0.5665680769208709,0.8720856789748244,0.04110757521078705,0.03575469563249604
CCL18,0.528904,0.45615003,0.5968720342641417,0.9053051212147104,0.02595059217217283,0.021045485403937542
PHKG1,0.48021972,-0.14669903,0.6310711659928723,0.9410967332826952,0.019389127653292215,0.01493550577053632
SPP1,0.46315548,0.061191726,0.6432529169067369,0.9530483812257166,0.0459302516321643,0.04163837972391944
SLPI,0.4016193,0.19477814,0.6879642247396546,0.9970678071334221,0.01505856107083101,0.011314777098891152
DCN,0.34493613,0.75667316,0.7301423966909606,1.0,0.00908762835864965,0.005883684091423399
B3GAT2,0.31452152,-0.25755012,0.7531249799303186,1.0,0.031659066303598965,0.028739533831183526
S100A9,0.29450393,-0.016016757,0.7683728556770995,1.0,0.052032413634723274,0.049332428151165425
FAM184B,0.28811634,-1.5384684,0.7732576895192849,1.0,0.009022013713460845,0.006336275175379045
LUM,0.26619032,0.5886672,0.7900926483331758,1.0,0.007676913487090318,0.00520479746548993
KRT17,0.25538266,0.360961,0.7984275557259407,1.0,0.005544437518454119,0.0031681375876895226
MS4A4A,0.25243732,0.6788502,0.8007030649169387,1.0,0.005741281454020537,0.0033944331296673455
MRC1,0.25059196,0.9126491,0.8021295933061385,1.0,0.00459302516321643,0.0022629554197782305
FABP4,0.24901983,0.38373563,0.8033454420850139,1.0,0.01453364390932056,0.012219959266802444
OTUD1,0.24503596,-0.25714654,0.8064285825900623,1.0,0.014730487844886979,0.012446254808780267
